epoch	step	seen	train_loss	smooth_loss	val_acc	val_top5	lr
84	105000	8400000	1.799541	1.762643	0.370800	0.636900	2.91165733e-04
85	106250	8500000	1.792922	1.817731	0.378400	0.648200	2.56683077e-04
86	107500	8600000	1.782486	1.797338	0.383300	0.645600	2.24233082e-04
87	108750	8700000	1.773708	1.748909	0.391800	0.657800	1.93853586e-04
88	110000	8800000	1.766913	1.713845	0.377700	0.642400	1.65580009e-04
89	111250	8900000	1.755325	1.757997	0.395000	0.656800	1.39445318e-04
90	112500	9000000	1.748159	1.747119	0.398700	0.660700	1.15479985e-04
91	113750	9100000	1.742644	1.785257	0.398200	0.663100	9.37119539e-05
92	115000	9200000	1.738198	1.735952	0.390800	0.654700	7.41666046e-05
93	116250	9300000	1.730717	1.727714	0.390100	0.656700	5.68667267e-05
94	117500	9400000	1.728272	1.722084	0.391900	0.654100	4.18324916e-05
95	118750	9500000	1.724284	1.759618	0.389000	0.650900	2.90814287e-05
96	120000	9600000	1.719435	1.725398	0.386700	0.653000	1.86284055e-05
97	121250	9700000	1.716718	1.662097	0.382800	0.643900	1.04856099e-05
98	122500	9800000	1.716624	1.653009	0.383900	0.644800	4.66253619e-06
99	123750	9900000	1.713862	1.659047	0.381400	0.641200	1.16597392e-06
100	125000	10000000	1.713895	1.728993	0.377200	0.638200	0.00000000e+00
