epoch	step	seen	train_loss	smooth_loss	val_acc	val_top5	lr
84	105000	8400000	1.746357	1.689078	0.375500	0.646700	2.91165733e-04
85	106250	8500000	1.739276	1.776194	0.381300	0.645400	2.56683077e-04
86	107500	8600000	1.728547	1.765303	0.388800	0.655700	2.24233082e-04
87	108750	8700000	1.719353	1.694725	0.388700	0.659100	1.93853586e-04
88	110000	8800000	1.711323	1.662006	0.385700	0.651500	1.65580009e-04
89	111250	8900000	1.701421	1.727937	0.386400	0.657000	1.39445318e-04
90	112500	9000000	1.695433	1.685971	0.381900	0.650100	1.15479985e-04
91	113750	9100000	1.688142	1.732352	0.393300	0.664900	9.37119539e-05
92	115000	9200000	1.682167	1.692965	0.390200	0.659000	7.41666046e-05
93	116250	9300000	1.675773	1.672047	0.388400	0.662200	5.68667267e-05
94	117500	9400000	1.673270	1.652434	0.383200	0.655700	4.18324916e-05
95	118750	9500000	1.670791	1.721475	0.389700	0.660800	2.90814287e-05
96	120000	9600000	1.664208	1.685375	0.396900	0.663800	1.86284055e-05
97	121250	9700000	1.661886	1.623004	0.389300	0.658300	1.04856099e-05
98	122500	9800000	1.659985	1.601129	0.386700	0.654600	4.66253619e-06
99	123750	9900000	1.658146	1.629097	0.395800	0.663000	1.16597392e-06
100	125000	10000000	1.656643	1.680996	0.392500	0.659300	0.00000000e+00
