Wall time,Step,Value
1767206316.3960161,0,8.470000267028809
1767206468.3696938,1,8.800000190734863
1767206620.2036967,2,15.75
1767206772.172081,3,11.960000038146973
1767206924.301533,4,16.780000686645508
1767207076.4948926,5,8.619999885559082
1767207228.7765536,6,18.200000762939453
1767207381.0033863,7,14.130000114440918
1767207533.2251997,8,19.309999465942383
1767207685.2992237,9,22.709999084472656
1767207837.3314185,10,11.3100004196167
1767207989.673801,11,14.9399995803833
1767208141.8117516,12,16.639999389648438
1767208294.170821,13,20.0
1767208446.465625,14,16.290000915527344
1767208598.746496,15,16.190000534057617
1767208751.122863,16,19.309999465942383
1767208903.2417924,17,17.329999923706055
1767209055.5829003,18,19.219999313354492
1767209207.846831,19,18.3799991607666
1767209360.0619123,20,22.149999618530273
1767209512.2377,21,22.739999771118164
1767209664.3440235,22,17.170000076293945
1767209816.4728296,23,18.950000762939453
1767209968.5178854,24,20.510000228881836
1767210120.4989626,25,19.700000762939453
1767210272.871592,26,22.600000381469727
1767210425.0171337,27,14.210000038146973
1767210577.185245,28,22.15999984741211
1767210729.2070506,29,19.229999542236328
1767210881.2400203,30,14.569999694824219
1767211033.48526,31,20.940000534057617
1767211185.447638,32,21.149999618530273
1767211337.4643948,33,20.290000915527344
1767211489.4730422,34,20.770000457763672
1767211641.3464482,35,19.579999923706055
1767211793.3800285,36,19.670000076293945
1767211945.7566533,37,21.809999465942383
1767212212.5091434,38,24.510000228881836
1767212527.8831577,39,23.979999542236328
1767212842.5866065,40,21.979999542236328
1767213158.1430144,41,17.969999313354492
1767213473.2858179,42,23.6200008392334
1767213788.8316543,43,23.239999771118164
1767214103.8671937,44,21.790000915527344
1767214417.782377,45,26.06999969482422
1767214732.7387693,46,19.25
1767215048.5091672,47,24.010000228881836
1767215363.8630514,48,21.329999923706055
1767215678.98395,49,22.100000381469727
1767215994.7579067,50,24.450000762939453
1767216310.1735992,51,22.15999984741211
1767216625.500253,52,19.719999313354492
1767216938.826006,53,25.959999084472656
1767217090.7524037,54,21.68000030517578
1767217242.878276,55,24.149999618530273
1767217394.9319675,56,27.399999618530273
1767217547.1452754,57,23.559999465942383
1767217699.3475351,58,22.040000915527344
1767217851.3478382,59,28.670000076293945
1767218003.707094,60,27.1200008392334
1767218155.7055008,61,28.90999984741211
1767218308.0291746,62,26.260000228881836
1767218460.2149117,63,25.040000915527344
1767218612.3419068,64,27.860000610351562
1767218764.5260818,65,28.559999465942383
1767218916.6030774,66,29.190000534057617
1767219068.5838182,67,27.31999969482422
1767219220.643291,68,31.649999618530273
1767219372.8918085,69,29.6299991607666
1767219524.8178234,70,27.209999084472656
1767219676.7917566,71,26.649999618530273
1767219828.7987287,72,27.579999923706055
1767219980.8940334,73,29.989999771118164
1767220133.0059884,74,31.1299991607666
1767220285.0509079,75,31.59000015258789
1767220437.1243627,76,32.150001525878906
1767220589.1202354,77,32.939998626708984
1767220741.0680776,78,33.4900016784668
1767220893.1688967,79,33.790000915527344
1767221045.1700487,80,34.9900016784668
1767221196.9163635,81,35.599998474121094
1767221349.178893,82,34.2400016784668
1767221501.1103036,83,35.65999984741211
1767221653.2765217,84,35.15999984741211
1767221805.3572836,85,35.81999969482422
1767221957.3020058,86,36.81999969482422
1767222109.1974869,87,38.2599983215332
1767222261.1181319,88,37.65999984741211
1767222413.1760101,89,38.56999969482422
1767222565.2336955,90,38.130001068115234
1767222717.5533996,91,38.650001525878906
1767222869.7910755,92,38.7599983215332
1767223021.6762505,93,39.2400016784668
1767223173.6872916,94,39.630001068115234
1767223325.8222833,95,40.220001220703125
1767223477.886982,96,39.880001068115234
1767223629.693047,97,40.25
1767223781.7530406,98,40.189998626708984
1767223934.2187471,99,40.560001373291016
