Wall time,Step,Value
1767199456.5185761,0,17.56999969482422
1767199471.9460323,1,22.6299991607666
1767199487.3557692,2,28.579999923706055
1767199503.1430988,3,28.81999969482422
1767199518.5840502,4,29.68000030517578
1767199533.9739277,5,34.849998474121094
1767199549.8647368,6,36.63999938964844
1767199565.3518796,7,36.709999084472656
1767199580.7677574,8,39.529998779296875
1767199596.2235231,9,40.61000061035156
1767199611.7073767,10,37.61000061035156
1767199627.704213,11,36.880001068115234
1767199643.2687783,12,41.68000030517578
1767199658.848317,13,42.13999938964844
1767199674.367422,14,41.790000915527344
1767199690.1504297,15,43.09000015258789
1767199705.9855227,16,40.83000183105469
1767199721.5380852,17,45.040000915527344
1767199737.0958176,18,43.439998626708984
1767199752.790011,19,45.61000061035156
1767199768.3830786,20,45.560001373291016
1767199783.9298759,21,48.060001373291016
1767199799.4572785,22,47.689998626708984
1767199815.055113,23,46.689998626708984
1767199830.5493383,24,45.060001373291016
1767199846.127696,25,48.75
1767199862.0896664,26,47.470001220703125
1767199877.5793867,27,47.34000015258789
1767199893.079274,28,47.709999084472656
1767199908.7078037,29,51.029998779296875
1767199924.7861097,30,50.38999938964844
1767199940.6729767,31,50.38999938964844
1767199956.2799904,32,50.099998474121094
1767199971.824071,33,49.689998626708984
1767199987.3574572,34,50.61000061035156
1767200003.2652206,35,50.63999938964844
1767200019.1283717,36,48.95000076293945
1767200034.6628935,37,49.470001220703125
1767200050.209839,38,50.29999923706055
1767200065.8018713,39,51.599998474121094
1767200081.4153686,40,52.56999969482422
1767200097.40019,41,49.5
1767200113.1909442,42,50.83000183105469
1767200128.7086296,43,52.15999984741211
1767200144.232687,44,52.689998626708984
1767200159.8585951,45,52.22999954223633
1767200175.537332,46,52.34000015258789
1767200191.081809,47,53.0
1767200206.9795156,48,53.099998474121094
1767200222.4999783,49,54.43000030517578
1767200238.0532014,50,52.59000015258789
1767200254.0490694,51,54.58000183105469
1767200269.559128,52,53.529998779296875
1767200285.219992,53,55.380001068115234
1767200301.2125168,54,55.04999923706055
1767200316.7457252,55,54.56999969482422
1767200332.321002,56,54.91999816894531
1767200347.8589783,57,55.06999969482422
1767200363.2958314,58,55.130001068115234
1767200379.1419303,59,54.04999923706055
1767200395.0036762,60,55.790000915527344
1767200410.9475482,61,55.619998931884766
1767200426.4257696,62,55.75
1767200442.1452024,63,55.650001525878906
1767200457.7646246,64,55.790000915527344
1767200473.1882014,65,55.779998779296875
1767200488.837911,66,56.22999954223633
1767200504.4114044,67,56.88999938964844
1767200519.8180354,68,56.2599983215332
1767200535.3072083,69,57.22999954223633
1767200551.2733407,70,56.5
1767200567.0115077,71,57.209999084472656
1767200582.4497018,72,57.029998779296875
1767200597.915527,73,57.189998626708984
1767200613.492246,74,57.540000915527344
1767200628.9607372,75,57.61000061035156
1767200644.9877207,76,57.83000183105469
1767200660.8234146,77,57.95000076293945
1767200676.3488905,78,57.9900016784668
1767200692.3814034,79,58.099998474121094
1767200708.0313334,80,57.72999954223633
1767200724.2131798,81,58.20000076293945
1767200740.1260011,82,58.119998931884766
1767200755.6378102,83,58.540000915527344
1767200771.1428978,84,57.9900016784668
1767200786.6221557,85,58.16999816894531
1767200802.0691547,86,58.459999084472656
1767200818.0459294,87,58.560001373291016
1767200833.6681623,88,58.290000915527344
1767200849.2062414,89,58.79999923706055
1767200865.26494,90,58.52000045776367
1767200880.7646356,91,58.43000030517578
1767200896.2870255,92,58.38999938964844
1767200911.7618475,93,58.540000915527344
1767200927.2559443,94,58.40999984741211
1767200942.7851043,95,58.540000915527344
1767200958.3462467,96,58.459999084472656
1767200974.409061,97,58.5
1767200989.9840128,98,58.34000015258789
1767201005.390973,99,58.599998474121094
