Wall time,Step,Value
1767206316.395918,0,6.626999855041504
1767206468.369616,1,14.368000030517578
1767206620.2036433,2,18.02199935913086
1767206772.1720307,3,20.290000915527344
1767206924.30148,4,21.832000732421875
1767207076.4948072,5,22.826000213623047
1767207228.7765012,6,23.746999740600586
1767207381.0033422,7,24.365999221801758
1767207533.2251513,8,24.804000854492188
1767207685.299177,9,25.256000518798828
1767207837.3313684,10,25.573999404907227
1767207989.673757,11,25.95199966430664
1767208141.8116934,12,26.176000595092773
1767208294.170779,13,26.48900032043457
1767208446.4655755,14,26.777000427246094
1767208598.746443,15,27.035999298095703
1767208751.1228204,16,26.959999084472656
1767208903.2417388,17,27.22800064086914
1767209055.5828567,18,27.334999084472656
1767209207.846784,19,27.707000732421875
1767209360.061869,20,27.559999465942383
1767209512.237644,21,27.959999084472656
1767209664.3439798,22,27.958999633789062
1767209816.4726906,23,28.117000579833984
1767209968.517839,24,28.224000930786133
1767210120.4988968,25,28.468000411987305
1767210272.8715463,26,28.55900001525879
1767210425.0170803,27,28.5939998626709
1767210577.185189,28,28.711999893188477
1767210729.207003,29,28.884000778198242
1767210881.2399755,30,29.059999465942383
1767211033.4852114,31,29.010000228881836
1767211185.4475896,32,29.304000854492188
1767211337.4643402,33,29.41200065612793
1767211489.4729915,34,29.56999969482422
1767211641.3464,35,29.704999923706055
1767211793.3799808,36,29.92300033569336
1767211945.7565987,37,30.047000885009766
1767212212.509063,38,29.89299964904785
1767212527.8829732,39,30.201000213623047
1767212842.5864897,40,30.514999389648438
1767213158.1429045,41,30.5
1767213473.2856674,42,30.642000198364258
1767213788.831416,43,30.99799919128418
1767214103.866994,44,30.905000686645508
1767214417.7823193,45,31.15399932861328
1767214732.7386818,46,31.295000076293945
1767215048.5090601,47,31.405000686645508
1767215363.8628707,48,31.684999465942383
1767215678.9837255,49,31.618999481201172
1767215994.757671,50,31.888999938964844
1767216310.1734416,51,32.130001068115234
1767216625.5001462,52,32.33100128173828
1767216938.8259168,53,32.40399932861328
1767217090.752271,54,32.4119987487793
1767217242.878235,55,32.79399871826172
1767217394.9318926,56,33.17499923706055
1767217547.1452305,57,33.27199935913086
1767217699.3474846,58,33.50600051879883
1767217851.3477852,59,33.617000579833984
1767218003.707046,60,33.82899856567383
1767218155.7054489,61,33.946998596191406
1767218308.0291228,62,34.266998291015625
1767218460.2148635,63,34.678001403808594
1767218612.3418512,64,34.74700164794922
1767218764.526003,65,34.9370002746582
1767218916.6030283,66,35.31999969482422
1767219068.583774,67,35.54499816894531
1767219220.6432443,68,35.659000396728516
1767219372.8917644,69,35.90599822998047
1767219524.8177772,70,36.03300094604492
1767219676.791708,71,36.46099853515625
1767219828.798686,72,36.76100158691406
1767219980.8939936,73,36.847999572753906
1767220133.005949,74,37.27000045776367
1767220285.050869,75,37.38100051879883
1767220437.124317,76,37.85599899291992
1767220589.1201108,77,38.24399948120117
1767220741.0680242,78,38.46500015258789
1767220893.1688175,79,38.63199996948242
1767221045.1700022,80,39.01100158691406
1767221196.9162872,81,39.22800064086914
1767221349.1788375,82,39.58700180053711
1767221501.1102493,83,39.8380012512207
1767221653.2764795,84,40.30500030517578
1767221805.3572352,85,40.52799987792969
1767221957.301947,86,40.904998779296875
1767222109.1974,87,41.13199996948242
1767222261.1180842,88,41.49300003051758
1767222413.1759295,89,41.72800064086914
1767222565.2336476,90,42.145999908447266
1767222717.55335,91,42.52399826049805
1767222869.7910197,92,42.83700180053711
1767223021.6762006,93,42.92599868774414
1767223173.6872158,94,43.08100128173828
1767223325.8222268,95,43.43299865722656
1767223477.8869267,96,43.57500076293945
1767223629.6929903,97,43.797000885009766
1767223781.7529905,98,43.808998107910156
1767223934.218687,99,43.9109992980957
