Wall time,Step,Value
1767142140.9661467,0,29.024999618530273
1767142161.7707307,1,41.73749923706055
1767142182.4346168,2,41.11249923706055
1767142203.0814123,3,38.9375
1767142223.837183,4,40.98749923706055
1767142244.582736,5,33.724998474121094
1767142265.3781867,6,43.04999923706055
1767142286.183899,7,48.9375
1767142306.9224832,8,37.54999923706055
1767142327.8362572,9,47.38750076293945
1767142348.6090543,10,44.099998474121094
1767142369.428437,11,43.537498474121094
1767142390.239936,12,42.625
1767142411.0129037,13,52.712501525878906
1767142431.7656121,14,42.42499923706055
1767142452.535237,15,57.95000076293945
1767142473.3602014,16,56.17499923706055
1767142494.1465487,17,47.974998474121094
1767142514.991563,18,55.61249923706055
1767142535.772191,19,44.775001525878906
1767142556.5966012,20,59.32500076293945
1767142577.3339338,21,36.29999923706055
1767142598.0683637,22,53.4375
1767142618.8155887,23,51.025001525878906
1767142639.6170008,24,61.01250076293945
1767142660.415199,25,58.275001525878906
1767142681.2193427,26,61.92499923706055
1767142702.0379076,27,55.087501525878906
1767142722.860408,28,61.275001525878906
1767142743.722103,29,60.912498474121094
1767142764.5035417,30,62.04999923706055
1767142785.2996066,31,58.162498474121094
1767142806.1179476,32,59.5625
1767142826.9195507,33,53.625
1767142847.7078786,34,60.912498474121094
1767142868.5506809,35,50.6875
1767142889.2926064,36,54.9375
1767142910.043658,37,63.82500076293945
1767142930.8629756,38,59.88750076293945
1767142951.6804945,39,63.775001525878906
1767142972.4796045,40,64.0250015258789
1767142993.210633,41,54.32500076293945
1767143013.9799402,42,49.45000076293945
1767143034.758212,43,56.5
1767143055.627661,44,60.212501525878906
1767143076.5147417,45,50.537498474121094
1767143097.344757,46,60.375
1767143118.189788,47,60.712501525878906
1767143138.9355905,48,56.0
1767143159.807596,49,65.8125
1767143180.627279,50,63.150001525878906
1767143201.4549427,51,65.2874984741211
1767143222.2498975,52,67.9000015258789
1767143243.0306354,53,67.6875
1767143263.8131008,54,65.2874984741211
1767143284.6257737,55,57.587501525878906
1767143305.4093735,56,63.662498474121094
1767143326.258609,57,67.4625015258789
1767143347.093195,58,63.01250076293945
1767143367.914569,59,65.23750305175781
1767143388.6729753,60,64.63749694824219
1767143409.3840182,61,67.63749694824219
1767143430.2190979,62,68.11250305175781
1767143451.0241892,63,68.5250015258789
1767143471.876229,64,69.2874984741211
1767143492.646871,65,68.9000015258789
1767143513.4674854,66,70.3125
1767143534.266767,67,67.61250305175781
1767143555.1018527,68,68.875
1767143575.8630803,69,67.625
1767143596.731936,70,67.17500305175781
1767143617.6047149,71,68.11250305175781
1767143638.4424098,72,68.2249984741211
1767143659.333735,73,69.19999694824219
1767143680.1140797,74,68.92500305175781
1767143700.9741104,75,70.4749984741211
1767143721.822418,76,70.55000305175781
1767143742.584426,77,70.30000305175781
1767143763.4512696,78,71.1624984741211
1767143784.2203767,79,71.69999694824219
1767143805.0279315,80,71.11250305175781
1767143825.7806218,81,71.44999694824219
1767143846.701542,82,71.23750305175781
1767143867.5437741,83,71.5250015258789
1767143888.3704748,84,71.82499694824219
1767143909.1968517,85,71.76249694824219
1767143930.0454922,86,72.25
1767143950.8799565,87,71.3499984741211
1767143971.7316992,88,71.86250305175781
1767143992.5100336,89,72.19999694824219
1767144013.2889855,90,71.6875
1767144034.1713908,91,72.01249694824219
1767144054.9689817,92,72.1624984741211
1767144075.796807,93,72.0
1767144096.6167321,94,71.92500305175781
1767144117.4184875,95,72.0625
1767144138.1795707,96,72.25
1767144159.0265086,97,72.125
1767144179.820134,98,72.3375015258789
1767144200.7133286,99,71.73750305175781
